HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Common County Name,Common State Abbreviation,State and County Federal Information Processing Standard Code,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Data Warehouse Record Create Date
Eastern Johnston County SA,137999370N,High Needs Geographic HPSA,Primary Care,6,NC,Withdrawn,05/28/2014,07/02/2018,Not applicable,07/02/2018,25.4000,77229.0,,3041:1,Geographic Population,Partially Rural,"Johnston County, NC",NC,37101,Beulah,,County Subdivision,76200,1029,3000:1,0.3400,08/29/2026
Eastern Johnston County SA,137999370N,High Needs Geographic HPSA,Primary Care,6,NC,Withdrawn,05/28/2014,07/02/2018,Not applicable,07/02/2018,25.4000,77229.0,,3041:1,Geographic Population,Partially Rural,"Johnston County, NC",NC,37101,Boon Hill,,County Subdivision,76200,1029,3000:1,0.3400,08/29/2026
Eastern Johnston County SA,137999370N,High Needs Geographic HPSA,Primary Care,6,NC,Withdrawn,05/28/2014,07/02/2018,Not applicable,07/02/2018,25.4000,77229.0,,3041:1,Geographic Population,,"Johnston County, NC",NC,37101,Elevation,,County Subdivision,76200,1029,3000:1,0.3400,08/29/2026
Migrant Farmworker - Johnston/Sampson,1379993721,HPSA Population,Primary Care,0,NC,Withdrawn,03/19/1982,08/30/1996,Not applicable,08/30/1996,1.6000,7594.0,99.0,4746:1,Migrant Farmworker Population HPSA,,"Johnston County, NC",NC,37101,Johnston,,Single County,4800,2794,3000:1,,08/29/2026
Newton Grove/Grantham,1379993736,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/15/1990,08/30/1996,Not applicable,08/30/1996,1.4000,0.0,15.5,0:1,Geographic Population,Partially Rural,"Johnston County, NC",NC,37101,Bentonville,,County Subdivision,4900,-4900,3500:1,,08/29/2026
Medically Indigent  - Johnston County,1379993760,HPSA Population,Primary Care,13,NC,Withdrawn,08/30/1996,05/28/2014,Not applicable,05/28/2014,1.5000,24187.0,,16125:1,Other Population HPSA,,"Johnston County, NC",NC,37101,Johnston,,Single County,4500,19687,3000:1,6.5600,08/29/2026
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC",1379993785,Federally Qualified Health Center,Primary Care,20,NC,Designated,10/26/2002,09/22/2025,,,,183760.0,,,,Rural,"Johnston County, NC",NC,37101,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC",1379993785,Unknown,,,,,08/29/2026
BENSON AREA MEDICAL CENTER INC,13799937GR,Rural Health Clinic,Primary Care,14,NC,Withdrawn,04/24/2012,04/05/2023,,04/05/2023,,183432.0,,,,Non-Rural,"Johnston County, NC",NC,37101,BENSON AREA MEDICAL CENTER INC,13799937GR,Unknown,,,,,08/29/2026
Jones,137103,Geographic HPSA,Primary Care,0,NC,Withdrawn,04/08/1986,05/30/1997,Not applicable,05/30/1997,6.0000,9595.0,20.2,1599:1,Geographic Population,Rural,"Jones County, NC",NC,37103,Jones,,Single County,21000,-11405,3500:1,0.0000,08/29/2026
LI - Jones County,1379164179,HPSA Population,Primary Care,18,NC,Designated,10/20/2016,06/18/2025,Not applicable,,0.0000,3799.0,21.2,,Low Income Population HPSA,Rural,"Jones County, NC",NC,37103,Jones,,Single County,0,3799,3000:1,1.2700,08/29/2026
LI-Lee County,1372598507,HPSA Population,Primary Care,14,NC,Designated,09/05/2025,09/05/2025,Not applicable,,4.9442,22905.0,15.4,4633:1,Low Income Population HPSA,Rural,"Lee County, NC",NC,37105,Lee,,Single County,14833,8072,3000:1,2.6958,08/29/2026
MI-Lee County,1376847740,HPSA Population,Primary Care,18,NC,Withdrawn,03/11/2010,07/01/2026,Not applicable,07/01/2026,0.0000,4603.0,16.0,,Other Population HPSA,Rural,"Lee County, NC",NC,37105,Lee,,Single County,0,4603,3000:1,1.5300,08/29/2026
Low Income - Moncure/Sanford,1379993765,HPSA Population,Primary Care,0,NC,Withdrawn,02/05/1998,03/11/2010,Not applicable,03/11/2010,0.0000,0.0,,,Low Income Population HPSA,,"Lee County, NC",NC,37105,"3, Cape Fear",,County Subdivision,0,0,3000:1,0.0000,08/29/2026
Low Income - Moncure/Sanford,1379993765,HPSA Population,Primary Care,0,NC,Withdrawn,02/05/1998,03/11/2010,Not applicable,03/11/2010,0.0000,0.0,,,Low Income Population HPSA,,"Lee County, NC",NC,37105,"2, Jonesboro",,County Subdivision,0,0,3000:1,0.0000,08/29/2026
Low Income - Moncure/Sanford,1379993765,HPSA Population,Primary Care,0,NC,Withdrawn,02/05/1998,03/11/2010,Not applicable,03/11/2010,0.0000,0.0,,,Low Income Population HPSA,,"Lee County, NC",NC,37105,"6, West Sanford",,County Subdivision,0,0,3000:1,0.0000,08/29/2026
Low Income - Moncure/Sanford,1379993765,HPSA Population,Primary Care,0,NC,Withdrawn,02/05/1998,03/11/2010,Not applicable,03/11/2010,0.0000,0.0,,,Low Income Population HPSA,,"Lee County, NC",NC,37105,"5, East Sanford",,County Subdivision,0,0,3000:1,0.0000,08/29/2026
Low Income - Moncure/Sanford,1379993765,HPSA Population,Primary Care,0,NC,Withdrawn,02/05/1998,03/11/2010,Not applicable,03/11/2010,0.0000,0.0,,,Low Income Population HPSA,,"Lee County, NC",NC,37105,"4, Deep River",,County Subdivision,0,0,3000:1,0.0000,08/29/2026
MI - Lenoir County,1375167133,HPSA Population,Primary Care,18,NC,Withdrawn,05/07/2014,07/01/2026,Not applicable,07/01/2026,0.7500,5899.0,22.9,7865:1,Other Population HPSA,Rural,"Lenoir County, NC",NC,37107,Lenoir,,Single County,2250,3649,3000:1,1.2200,08/29/2026
LI - Lenoir County,1375233018,HPSA Population,Primary Care,19,NC,Designated,04/25/2025,04/25/2025,Not applicable,,3.4768,24932.0,22.4,7171:1,Low Income Population HPSA,Rural,"Lenoir County, NC",NC,37107,Lenoir,,Single County,10430,14502,3000:1,4.8332,08/29/2026
East Kinston,1379993752,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/02/1994,06/29/2012,Not applicable,06/29/2012,11.0000,15775.0,,1434:1,Geographic Population,,"Lenoir County, NC",NC,37107,105,,Census Tract,38500,-22725,3500:1,0.0000,08/29/2026
East Kinston,1379993752,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/02/1994,06/29/2012,Not applicable,06/29/2012,11.0000,15775.0,,1434:1,Geographic Population,,"Lenoir County, NC",NC,37107,107,,Census Tract,38500,-22725,3500:1,0.0000,08/29/2026
East Kinston,1379993752,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/02/1994,06/29/2012,Not applicable,06/29/2012,11.0000,15775.0,,1434:1,Geographic Population,,"Lenoir County, NC",NC,37107,102,,Census Tract,38500,-22725,3500:1,0.0000,08/29/2026
East Kinston,1379993752,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/02/1994,06/29/2012,Not applicable,06/29/2012,11.0000,15775.0,,1434:1,Geographic Population,,"Lenoir County, NC",NC,37107,103,,Census Tract,38500,-22725,3500:1,0.0000,08/29/2026
East Kinston,1379993752,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/02/1994,06/29/2012,Not applicable,06/29/2012,11.0000,15775.0,,1434:1,Geographic Population,,"Lenoir County, NC",NC,37107,104,,Census Tract,38500,-22725,3500:1,0.0000,08/29/2026
East Kinston,1379993752,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/02/1994,06/29/2012,Not applicable,06/29/2012,11.0000,15775.0,,1434:1,Geographic Population,,"Lenoir County, NC",NC,37107,101,,Census Tract,38500,-22725,3500:1,0.0000,08/29/2026
"KINSTON COMMUNITY HEALTH CENTER, INC",1379993799,Federally Qualified Health Center,Primary Care,21,NC,Designated,10/26/2002,09/22/2025,,,,27359.0,,,,Rural,"Lenoir County, NC",NC,37107,"KINSTON COMMUNITY HEALTH CENTER, INC",1379993799,Unknown,,,,,08/29/2026
LI - Lincoln West,1376274278,HPSA Population,Primary Care,14,NC,Designated,08/19/2025,08/19/2025,Not applicable,,2.4214,12992.0,14.2,5365:1,Low Income Population HPSA,Partially Rural,"Lincoln County, NC",NC,37109,"Howards Creek township, Lincoln County, North Carolina",,County Subdivision,7264,5728,3000:1,1.9086,08/29/2026
LI - Lincoln West,1376274278,HPSA Population,Primary Care,14,NC,Designated,08/19/2025,08/19/2025,Not applicable,,2.4214,12992.0,14.2,5365:1,Low Income Population HPSA,Partially Rural,"Lincoln County, NC",NC,37109,"Lincolnton township, Lincoln County, North Carolina",,County Subdivision,7264,5728,3000:1,1.9086,08/29/2026
LI - Lincoln West,1376274278,HPSA Population,Primary Care,14,NC,Designated,08/19/2025,08/19/2025,Not applicable,,2.4214,12992.0,14.2,5365:1,Low Income Population HPSA,Partially Rural,"Lincoln County, NC",NC,37109,"North Brook township, Lincoln County, North Carolina",,County Subdivision,7264,5728,3000:1,1.9086,08/29/2026
MI - Lincoln County,1378521420,HPSA Population,Primary Care,16,NC,Withdrawn,09/20/2018,07/01/2026,Not applicable,07/01/2026,0.0000,6856.0,12.0,,Other Population HPSA,,"Lincoln County, NC",NC,37109,Lincoln,,Single County,0,6856,3000:1,2.2900,08/29/2026
McDowell,137111,Geographic HPSA,Primary Care,0,NC,Withdrawn,05/30/1978,06/10/1982,Not applicable,06/10/1982,11.0000,35135.0,11.0,3194:1,Geographic Population,Rural,"McDowell County, NC",NC,37111,McDowell,,Single County,38500,-3365,3500:1,,08/29/2026
COMMUNITY MEDICINE OLD FORT,1372512321,Rural Health Clinic,Primary Care,9,NC,Withdrawn,09/18/2020,08/03/2022,,08/03/2022,,92240.0,,,,Rural,"McDowell County, NC",NC,37111,COMMUNITY MEDICINE OLD FORT,1372512321,Unknown,,,,,08/29/2026
HEALTH PLUS OF THE MCDOWELL HOSP,1373037777,Rural Health Clinic,Primary Care,15,NC,Designated,09/18/2020,09/22/2025,,,,63305.0,,,,Rural,"McDowell County, NC",NC,37111,HEALTH PLUS OF THE MCDOWELL HOSP,1373037777,Unknown,,,,,08/29/2026
MI-McDowell County,1373493907,HPSA Population,Primary Care,19,NC,Withdrawn,09/03/2010,07/01/2026,Not applicable,07/01/2026,0.4600,5442.0,17.1,11830:1,Other Population HPSA,Rural,"McDowell County, NC",NC,37111,McDowell,,Single County,1380,4062,3000:1,1.3500,08/29/2026
MISSION HEALTH CENTER,1374222778,Rural Health Clinic,Primary Care,13,NC,Withdrawn,08/18/2019,02/06/2020,,02/06/2020,,72084.0,,,,Rural,"McDowell County, NC",NC,37111,MISSION HEALTH CENTER,1374222778,Unknown,,,,,08/29/2026
LI - McDowell County,1374676862,HPSA Population,Primary Care,17,NC,Designated,08/19/2025,08/19/2025,Not applicable,,1.2486,16133.0,13.9,12921:1,Low Income Population HPSA,Rural,"McDowell County, NC",NC,37111,McDowell,,Single County,3746,12387,3000:1,4.1314,08/29/2026
MCDOWELL OB/GYN MCDOWELL INTERNAL MEDICINE,1376478459,Rural Health Clinic,Primary Care,14,NC,Designated,08/06/2021,09/22/2025,,,,80934.0,,,,Rural,"McDowell County, NC",NC,37111,MCDOWELL OB/GYN MCDOWELL INTERNAL MEDICINE,1376478459,Unknown,,,,,08/29/2026
FAMILY MEDICINE-GLENWOOD,1376736700,Rural Health Clinic,Primary Care,13,NC,Withdrawn,08/18/2019,08/06/2021,,08/06/2021,,101161.0,,,,Rural,"McDowell County, NC",NC,37111,FAMILY MEDICINE-GLENWOOD,1376736700,Unknown,,,,,08/29/2026
Marion Correctional Center,1377661524,Correctional Facility,Primary Care,6,NC,Designated,07/06/2018,04/06/2023,6,,0.3250,768.0,,,,Rural,"McDowell County, NC",NC,37111,Marion Correctional Center,1377661524,Unknown,,,1000:1,0.4450,08/29/2026
COMMUNITY MEDICINE OLD FORT,1378043924,Rural Health Clinic,Primary Care,9,NC,Withdrawn,08/18/2019,02/06/2020,,02/06/2020,,108865.0,,,,Rural,"McDowell County, NC",NC,37111,COMMUNITY MEDICINE OLD FORT,1378043924,Unknown,,,,,08/29/2026
HEALTH PLUS OF THE MCDOWELL HOSP,1379029356,Rural Health Clinic,Primary Care,13,NC,Withdrawn,08/18/2019,02/06/2020,,02/06/2020,,78563.0,,,,Rural,"McDowell County, NC",NC,37111,HEALTH PLUS OF THE MCDOWELL HOSP,1379029356,Unknown,,,,,08/29/2026
MISSION HEALTH CENTER,1379206400,Rural Health Clinic,Primary Care,15,NC,Designated,09/18/2020,09/22/2025,,,,56496.0,,,,Rural,"McDowell County, NC",NC,37111,MISSION HEALTH CENTER,1379206400,Unknown,,,,,08/29/2026
FAMILY MEDICINE-NEBO,1379419221,Rural Health Clinic,Primary Care,15,NC,Designated,08/18/2019,09/22/2025,,,,59597.0,,,,Rural,"McDowell County, NC",NC,37111,FAMILY MEDICINE-NEBO,1379419221,Unknown,,,,,08/29/2026
ANGEL URGENT CARE CENTER,1379454314,Rural Health Clinic,Primary Care,16,NC,Designated,08/18/2019,09/22/2025,,,,35964.0,,,,Rural,"Macon County, NC",NC,37113,ANGEL URGENT CARE CENTER,1379454314,Unknown,,,,,08/29/2026
MI - Macon County,1379982585,HPSA Population,Primary Care,19,NC,Designated,12/17/2003,03/13/2025,Not applicable,,0.1460,5536.0,15.4,37918:1,Other Population HPSA,Rural,"Macon County, NC",NC,37113,Macon,,Single County,438,5098,3000:1,1.7040,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Franklin,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Burningtown,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Flats,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Ellijay,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Millshoal,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Cartoogechaye,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Nantahala,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Franklin,1379993749,Geographic HPSA,Primary Care,0,NC,Withdrawn,02/22/1994,02/20/2002,Not applicable,02/20/2002,14.0000,25188.0,17.1,1799:1,Geographic Population,,"Macon County, NC",NC,37113,Cowee,,County Subdivision,49000,-23812,3500:1,0.0000,08/29/2026
Madison,137115,Geographic HPSA,Primary Care,0,NC,Withdrawn,05/01/1979,05/30/1997,Not applicable,05/30/1997,8.6000,16949.0,20.4,1971:1,Geographic Population,Rural,"Madison County, NC",NC,37115,Madison,,Single County,30100,-13151,3500:1,0.0000,08/29/2026
LI - Madison County,1372514184,HPSA Population,Primary Care,13,NC,Designated,10/19/2020,07/18/2025,Not applicable,,1.2109,6261.0,11.4,5171:1,Low Income Population HPSA,Rural,"Madison County, NC",NC,37115,Madison,,Single County,3633,2628,3000:1,0.8791,08/29/2026
MI-Madison County,1376226462,HPSA Population,Primary Care,17,NC,Withdrawn,07/17/2013,07/07/2021,Not applicable,07/07/2021,0.0800,2627.0,18.2,32838:1,Other Population HPSA,Rural,"Madison County, NC",NC,37115,Madison,,Single County,240,2387,3000:1,0.8000,08/29/2026
HOT SPRINGS HEALTH PROGRAM INC,13799937A7,Federally Qualified Health Center Look A Like,Primary Care,17,NC,Designated,02/08/2006,09/22/2025,,,,11115.0,,,,Rural,"Madison County, NC",NC,37115,HOT SPRINGS HEALTH PROGRAM INC,13799937A7,Unknown,,,,,08/29/2026
LI - Martin County,1371172516,HPSA Population,Primary Care,16,NC,Designated,08/19/2025,08/19/2025,Not applicable,,2.1317,8805.0,19.6,4131:1,Low Income Population HPSA,Rural,"Martin County, NC",NC,37117,Martin,,Single County,6395,2410,3000:1,0.8083,08/29/2026
MI-Martin County,1377575997,HPSA Population,Primary Care,18,NC,Withdrawn,04/23/2002,07/01/2026,Not applicable,07/01/2026,0.0000,2349.0,19.7,,Other Population HPSA,Rural,"Martin County, NC",NC,37117,Martin,,Single County,0,2349,3000:1,0.7800,08/29/2026
AMITY MEDICAL GROUP INC,1371377848,Federally Qualified Health Center Look A Like,Primary Care,18,NC,Designated,03/29/2023,09/22/2025,,,,522192.0,,,,Non-Rural,"Mecklenburg County, NC",NC,37119,AMITY MEDICAL GROUP INC,1371377848,Unknown,,,,,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 18.02; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 23; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 3.02; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.16; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.10; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 25; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 6; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.18; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.14; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 26; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 3.01; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.17; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.11; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 20.07; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 58.66; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.19; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 17.01; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 21; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 17.02; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.20; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 18.01; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.26; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 9803; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.21; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 57.23; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 19.27; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 57.16; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
LI-Mecklenburg Charlotte SE,1372215953,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,5.6751,43041.0,15.2,7584:1,Low Income Population HPSA,Non-Rural,"Mecklenburg County, NC",NC,37119,Census Tract 11; Mecklenburg County; North Carolina,,Census Tract,17025,26016,3000:1,8.6749,08/29/2026
